Feature,MLP Projected Gain Importance
hbv_log-sigma-5-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.08942962980352868
t2w_wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.08934089704005135
t2w_log-sigma-3-0-mm-3D_firstorder_90Percentile,0.0893367094778653
t2w_wavelet-LLH_firstorder_Kurtosis,0.0890572746395773
t2w_wavelet-LHL_firstorder_Mean,0.08901197507125551
hbv_original_firstorder_Minimum,0.08896009356536523
adc_log-sigma-5-0-mm-3D_glszm_ZoneEntropy,0.08894380528637343
t2w_wavelet-HHL_ngtdm_Strength,0.08878613452734285
t2w_original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0887784147028172
t2w_wavelet-LLH_ngtdm_Strength,0.0886720265569999
t2w_wavelet-LHL_glcm_Imc1,0.08859981051005786
t2w_wavelet-LLH_ngtdm_Busyness,0.0885746562725942
adc_wavelet-LHH_ngtdm_Strength,0.08835195812914541
t2w_log-sigma-3-0-mm-3D_ngtdm_Strength,0.08827319983160088
t2w_log-sigma-5-0-mm-3D_firstorder_Range,0.0880935082208311
adc_wavelet-HLL_ngtdm_Contrast,0.08779072424832787
hbv_original_glcm_Autocorrelation,0.08714871672713836
hbv_wavelet-HLH_glcm_ClusterShade,0.08601007241552666
adc_wavelet-LLL_glcm_Autocorrelation,0.08580893268710023
hbv_log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.08536708303739576
t2w_original_glcm_Contrast,0.08531849538723008
adc_wavelet-HLH_ngtdm_Contrast,0.08510630852955565
adc_original_glcm_Idmn,0.0848270771472586
adc_wavelet-HLL_glcm_ClusterProminence,0.08471297949621268
adc_wavelet-LLH_firstorder_90Percentile,0.08445370778912073
t2w_wavelet-HHH_firstorder_Maximum,0.08437251736048866
adc_original_glszm_ZoneEntropy,0.08427583657012566
adc_wavelet-LHH_firstorder_Median,0.08403550434643031
adc_wavelet-HLL_glcm_Autocorrelation,0.0840108348329757
t2w_log-sigma-5-0-mm-3D_glcm_Correlation,0.08382460100793314
t2w_wavelet-LLL_glcm_JointEnergy,0.08382040752507047
t2w_original_firstorder_Minimum,0.08374382876884512
hbv_wavelet-LLL_glcm_Correlation,0.08349614993707978
t2w_wavelet-HHL_glcm_ClusterProminence,0.0832588336604841
adc_wavelet-HHL_firstorder_Skewness,0.08289768187217729
adc_original_glcm_ClusterProminence,0.08281542343174189
hbv_wavelet-LLL_glszm_ZoneEntropy,0.08273475933972534
t2w_wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.08180241313344386
hbv_wavelet-HHH_glcm_Autocorrelation,0.08119560624558846
adc_original_glszm_SizeZoneNonUniformity,0.08117199322194933
adc_wavelet-LLL_firstorder_Skewness,0.0805392907699854
adc_wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.08039250647396087
adc_wavelet-HLL_gldm_DependenceEntropy,0.08035846191453432
t2w_wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.08024451824697014
hbv_wavelet-HLL_firstorder_Skewness,0.08006439499848167
hbv_wavelet-HLH_glcm_JointEnergy,0.07963645097967569
hbv_original_glszm_LargeAreaEmphasis,0.07920686534705809
